ZONAS,UF: PARANÁ,IBGE,RESULTADO,CANDIDATO,VOTOS,LATITUDE SUL,LONGITUDE W-GR
1 A 4,Curitiba,4106902,29146,MOYSÉS LUPION,14304,25 º 25 ' 40 '' S,49 º 16 ' 23 '' W
1,Imbuial,4103107,716,MOYSÉS LUPION,579,25 º 17 ' 30 '' S        ,49 º 13 ' 27 '' W
2,Colombo,4104006,861,MOYSÉS LUPION,412,25 º 17 ' 30 '' S,49 º 13 ' 27 '' W
2,Almirante Tamandare,4100400,492,MOYSÉS LUPION,232,25 º 19 ' 29 '' S,49 º 18 ' 36 '' W
3,Araucaria,4101804,1111,MOYSÉS LUPION,804,25 º 35 ' 35 '' S,49 º 24 ' 37 '' W
4,Piraquara,4119509,1823,MOYSÉS LUPION,1010,25 º 26 ' 30 '' S,49 º 03 ' 48 '' W
5,Paranagua,4118204,3320,MOYSÉS LUPION,1204,25 º 31 ' 12 '' S,48 º 30 ' 33 '' W
5,Guaraquecaba,4109500,226,MOYSÉS LUPION,186,25 º 18 ' 24 '' S,48 º 19 ' 44 '' W
5,Guaratuba,4109609,163,MOYSÉS LUPION,138,25 º 52 ' 58 '' S,48 º 34 ' 29 '' W
6,Antonina,4101200,1876,MOYSÉS LUPION,1501,25 º 25 ' 43 '' S,48 º 42 ' 43 '' W
6,Morretes,4116208,1480,MOYSÉS LUPION,1007,25 º 28 ' 37 '' S,48 º 50 ' 04 '' W
7,Cerro Azul,4105201,1100,MOYSÉS LUPION,902,24 º 49 ' 25 '' S,49 º 15 ' 40 '' W
8,Sao Jose Dos Pinhais,4125506,3076,MOYSÉS LUPION,1518,25 º 32 ' 05 '' S,49 º 12 ' 23 '' W
9,Campo Largo,4104204,3135,MOYSÉS LUPION,2385,25 º 27 ' 31 '' S,49 º 31 ' 42 '' W
10,Lapa,4113205,4196,MOYSÉS LUPION,2678,25 º 46 ' 11 '' S,49 º 42 ' 57 '' W
11,Rio Negro,4122305,2929,MOYSÉS LUPION,1584,26 º 06 ' 21 '' S,49 º 47 ' 51 '' W
12,Sao Mateus Do Sul,4125605,2178,MOYSÉS LUPION,1365,25 º 52 ' 27 '' S,50 º 22 ' 58 '' W
13,Palmeira,4117701,1934,MOYSÉS LUPION,1575,25 º 25 ' 46 '' S,50 º 00 ' 23 '' W
13,Sao Joao Do Triunfo,4125100,1049,MOYSÉS LUPION,910,25 º 41 ' 00 '' S,50 º 17 ' 50 '' W
13,Porto Amazonas,4120101,590,MOYSÉS LUPION,170,25 º 32 ' 41 '' S,49 º 53 ' 25 '' W
14 E 15,Ponta Grossa,4119905,7172,MOYSÉS LUPION,2900,25 º 05 ' 42 '' S,50 º 09 ' 43 '' W
15,Teixeira Soares,4127007,648,MOYSÉS LUPION,448,25 º 22 ' 06 '' S,50 º 27 ' 38 '' W
16,Castro,4104907,2905,MOYSÉS LUPION,2440,24 º 47 ' 28 '' S,50 º 00 ' 43 '' W
16,Pirai Mirim,4119400,1439,MOYSÉS LUPION,1274,24 º 31 ' 34 '' S	,49 º 56 ' 55 '' W
17,Tibagi,4127502,2567,MOYSÉS LUPION,2027,24 º 30 ' 34 '' S,50 º 24 ' 49 '' W
18,Jaguariaiva,4112009,2146,MOYSÉS LUPION,1920,24 º 15 ' 04 '' S,49 º 42 ' 21 '' W
18,Senges,4126306,733,MOYSÉS LUPION,695,24 º 06 ' 46 '' S,49 º 27 ' 49 '' W
19,Tomazina,4127809,1335,MOYSÉS LUPION,1249,23 º 46 ' 42 '' S,49 º 56 ' 59 '' W
20,Wenceslau Braz,4128500,969,MOYSÉS LUPION,869,23 º 52 ' 26 '' S,49 º 48 ' 10 '' W
21,Siqueira Campos,4126603,1116,MOYSÉS LUPION,1096,23 º 41 ' 20 '' S,49 º 50 ' 02 '' W
22,Santo Antonio Da Platina,4124103,3192,MOYSÉS LUPION,2956,23 º 17 ' 42 '' S	,50 º 04 ' 38 '' W
22,Joaquim Tavora,4112801,743,MOYSÉS LUPION,672,23 º 29 ' 58 '' S,49 º 54 ' 17 '' W
23,Ribeirao Claro,4121802,1403,MOYSÉS LUPION,1295,23 º 11 ' 39 '' S,49 º 45 ' 29 '' W
23,Carlopolis,4104709,515,MOYSÉS LUPION,508,23 º 25 ' 30 '' S,49 º 43 ' 15 '' W
24,Jacarezinho,4111803,2663,MOYSÉS LUPION,1979,23 º 09 ' 38 '' S,49 º 58 ' 10 '' W
25,Cambara,4103602,1725,MOYSÉS LUPION,1276,23 º 02 ' 47 '' S,50 º 04 ' 25 '' W
25,Andira,4101101,811,MOYSÉS LUPION,716,23 º 03 ' 02 '' S,50 º 13 ' 44 '' W
25,Bandeirantes,4102406,1065,MOYSÉS LUPION,897,23 º 06 ' 36 '' S,50 º 22 ' 03 '' W
25,Santa Mariana,4123907,514,MOYSÉS LUPION,395,23 º 09 ' 03 '' S,50 º 31 ' 07 '' W
26,Cornelio Procopio,4106407,1880,MOYSÉS LUPION,1104,23 º 10 ' 52 '' S,50 º 38 ' 48 '' W
27,Londrina,4113700,4316,MOYSÉS LUPION,2966,23 º 18 ' 37 '' S,51 º 09 ' 46 '' W
28,Apucarana,4101408,2142,MOYSÉS LUPION,1740,23 º 33 ' 03 '' S,51 º 27 ' 39 '' W
28,Caviuna,4122404,1885,MOYSÉS LUPION,1653,23 º 18 ' 35 '' S,51 º 22 ' 09 '' W
28,Mandaguari,4114203,197,MOYSÉS LUPION,170,23 º 32 ' 51 '' S,51 º 40 ' 15 '' W
29,Imbituva,4110102,1863,MOYSÉS LUPION,1029,25 º 13 ' 48 '' S,50 º 36 ' 16 '' W
30,Prudentopolis,4120606,1662,MOYSÉS LUPION,1551,25 º 12 ' 47 '' S,50 º 58 ' 40 '' W
31,Guarapuava,4109401,3624,MOYSÉS LUPION,2874,25 º 23 ' 43 '' S,51 º 27 ' 29 '' W
32,Palmas,4117602,1553,MOYSÉS LUPION,1264,26 º 29 ' 03 '' S,51 º 59 ' 26 '' W
33,Uniao Da Vitoria,4128203,3000,MOYSÉS LUPION,1737,26 º 13 ' 48 '' S,51 º 05 ' 11 '' W
34,Irati,4110706,2754,MOYSÉS LUPION,1798,25 º 28 ' 02 '' S,50 º 39 ' 04 '' W
34,Reboucas,4121505,1116,MOYSÉS LUPION,737,25 º 37 ' 14 '' S,50 º 41 ' 34 '' W
34,Rio Azul,4122008,1168,MOYSÉS LUPION,874,25 º 43 ' 58 '' S,50 º 47 ' 47 '' W
35,Assai,4101903,1300,MOYSÉS LUPION,813,23 º 22 ' 24 '' S,50 º 50 ' 29 '' W
35,Congonhinhas,4106001,699,MOYSÉS LUPION,600,23 º 33 ' 04 '' S,50 º 33 ' 13 '' W
35,Sao Jeronimo Da Serra,4124707,280,MOYSÉS LUPION,263,23 º 43 ' 39 '' S,50 º 44 ' 28 '' W
36,Ipiranga,4110508,1649,MOYSÉS LUPION,1293,25 º 01 ' 26 '' S,50 º 35 ' 03 '' W
37,Malle,4113908,1944,MOYSÉS LUPION,1332,25 º 52 ' 40 '' S	,50 º 49 ' 16 '' W
38,Pitanga,4119608,1313,MOYSÉS LUPION,717,24 º 45 ' 26 '' S,51 º 45 ' 41 '' W
39,Reserva,4121703,1445,MOYSÉS LUPION,1325,24 º 39 ' 01 '' S,50 º 51 ' 02 '' W
40,Sertanopolis,4126504,1390,MOYSÉS LUPION,1066,23 º 03 ' 31 '' S,51 º 02 ' 11 '' W
40,Ibipora,4109807,558,MOYSÉS LUPION,384,23 º 16 ' 09 '' S,51 º 02 ' 53 '' W
40,Porecatu,4120002,321,MOYSÉS LUPION,262,22 º 45 ' 21 '' S,51 º 22 ' 45 '' W
40,Bela Vista Do Paraiso,4102802,267,MOYSÉS LUPION,196,22 º 59 ' 48 '' S,51 º 11 ' 26 '' W
40,Jaguapita,4111902,342,MOYSÉS LUPION,235,23 º 06 ' 46 '' S,51 º 31 ' 55 '' W
41,Laranjeiras Do Sul,4113304,1245,MOYSÉS LUPION,1241,25 º 24 ' 28 '' S,52 º 24 ' 58 '' W
42,Foz Do Iguacu,4108304,556,MOYSÉS LUPION,520,25 º 32 ' 52 '' S,54 º 35 ' 17 '' W
43,Clevelandia,4105706,1469,MOYSÉS LUPION,1239,26 º 23 ' 45 '' S,52 º 28 ' 15 '' W
1 A 4,Curitiba,4106902,29146,BENTO MUNHOZ DA ROCHA NETO,14842,25 º 25 ' 40 '' S,49 º 16 ' 23 '' W
1,Imbuial,4103107,716,BENTO MUNHOZ DA ROCHA NETO,137,25 º 17 ' 30 '' S        ,49 º 13 ' 27 '' W
2,Colombo,4104006,861,BENTO MUNHOZ DA ROCHA NETO,449,25 º 17 ' 30 '' S,49 º 13 ' 27 '' W
2,Almirante Tamandare,4100400,492,BENTO MUNHOZ DA ROCHA NETO,260,25 º 19 ' 29 '' S,49 º 18 ' 36 '' W
3,Araucaria,4101804,1111,BENTO MUNHOZ DA ROCHA NETO,307,25 º 35 ' 35 '' S,49 º 24 ' 37 '' W
4,Piraquara,4119509,1823,BENTO MUNHOZ DA ROCHA NETO,813,25 º 26 ' 30 '' S,49 º 03 ' 48 '' W
5,Paranagua,4118204,3320,BENTO MUNHOZ DA ROCHA NETO,2116,25 º 31 ' 12 '' S,48 º 30 ' 33 '' W
5,Guaraquecaba,4109500,226,BENTO MUNHOZ DA ROCHA NETO,40,25 º 18 ' 24 '' S,48 º 19 ' 44 '' W
5,Guaratuba,4109609,163,BENTO MUNHOZ DA ROCHA NETO,25,25 º 52 ' 58 '' S,48 º 34 ' 29 '' W
6,Antonina,4101200,1876,BENTO MUNHOZ DA ROCHA NETO,375,25 º 25 ' 43 '' S,48 º 42 ' 43 '' W
6,Morretes,4116208,1480,BENTO MUNHOZ DA ROCHA NETO,473,25 º 28 ' 37 '' S,48 º 50 ' 04 '' W
7,Cerro Azul,4105201,1100,BENTO MUNHOZ DA ROCHA NETO,198,24 º 49 ' 25 '' S,49 º 15 ' 40 '' W
8,Sao Jose Dos Pinhais,4125506,3076,BENTO MUNHOZ DA ROCHA NETO,1558,25 º 32 ' 05 '' S,49 º 12 ' 23 '' W
9,Campo Largo,4104204,3135,BENTO MUNHOZ DA ROCHA NETO,750,25 º 27 ' 31 '' S,49 º 31 ' 42 '' W
10,Lapa,4113205,4196,BENTO MUNHOZ DA ROCHA NETO,1518,25 º 46 ' 11 '' S,49 º 42 ' 57 '' W
11,Rio Negro,4122305,2929,BENTO MUNHOZ DA ROCHA NETO,1345,26 º 06 ' 21 '' S,49 º 47 ' 51 '' W
12,Sao Mateus Do Sul,4125605,2178,BENTO MUNHOZ DA ROCHA NETO,813,25 º 52 ' 27 '' S,50 º 22 ' 58 '' W
13,Palmeira,4117701,1934,BENTO MUNHOZ DA ROCHA NETO,359,25 º 25 ' 46 '' S,50 º 00 ' 23 '' W
13,Sao Joao Do Triunfo,4125100,1049,BENTO MUNHOZ DA ROCHA NETO,139,25 º 41 ' 00 '' S,50 º 17 ' 50 '' W
13,Porto Amazonas,4120101,590,BENTO MUNHOZ DA ROCHA NETO,420,25 º 32 ' 41 '' S,49 º 53 ' 25 '' W
14 E 15,Ponta Grossa,4119905,7172,BENTO MUNHOZ DA ROCHA NETO,4272,25 º 05 ' 42 '' S,50 º 09 ' 43 '' W
15,Teixeira Soares,4127007,648,BENTO MUNHOZ DA ROCHA NETO,200,25 º 22 ' 06 '' S,50 º 27 ' 38 '' W
16,Castro,4104907,2905,BENTO MUNHOZ DA ROCHA NETO,465,24 º 47 ' 28 '' S,50 º 00 ' 43 '' W
16,Pirai Mirim,4119400,1439,BENTO MUNHOZ DA ROCHA NETO,165,24 º 31 ' 34 '' S	,49 º 56 ' 55 '' W
17,Tibagi,4127502,2567,BENTO MUNHOZ DA ROCHA NETO,540,24 º 30 ' 34 '' S,50 º 24 ' 49 '' W
18,Jaguariaiva,4112009,2146,BENTO MUNHOZ DA ROCHA NETO,226,24 º 15 ' 04 '' S,49 º 42 ' 21 '' W
18,Senges,4126306,733,BENTO MUNHOZ DA ROCHA NETO,38,24 º 06 ' 46 '' S,49 º 27 ' 49 '' W
19,Tomazina,4127809,1335,BENTO MUNHOZ DA ROCHA NETO,86,23 º 46 ' 42 '' S,49 º 56 ' 59 '' W
20,Wenceslau Braz,4128500,969,BENTO MUNHOZ DA ROCHA NETO,100,23 º 52 ' 26 '' S,49 º 48 ' 10 '' W
21,Siqueira Campos,4126603,1116,BENTO MUNHOZ DA ROCHA NETO,20,23 º 41 ' 20 '' S,49 º 50 ' 02 '' W
22,Santo Antonio Da Platina,4124103,3192,BENTO MUNHOZ DA ROCHA NETO,236,23 º 17 ' 42 '' S	,50 º 04 ' 38 '' W
22,Joaquim Tavora,4112801,743,BENTO MUNHOZ DA ROCHA NETO,71,23 º 29 ' 58 '' S,49 º 54 ' 17 '' W
23,Ribeirao Claro,4121802,1403,BENTO MUNHOZ DA ROCHA NETO,108,23 º 11 ' 39 '' S,49 º 45 ' 29 '' W
23,Carlopolis,4104709,515,BENTO MUNHOZ DA ROCHA NETO,7,23 º 25 ' 30 '' S,49 º 43 ' 15 '' W
24,Jacarezinho,4111803,2663,BENTO MUNHOZ DA ROCHA NETO,684,23 º 09 ' 38 '' S,49 º 58 ' 10 '' W
25,Cambara,4103602,1725,BENTO MUNHOZ DA ROCHA NETO,449,23 º 02 ' 47 '' S,50 º 04 ' 25 '' W
25,Andira,4101101,811,BENTO MUNHOZ DA ROCHA NETO,95,23 º 03 ' 02 '' S,50 º 13 ' 44 '' W
25,Bandeirantes,4102406,1065,BENTO MUNHOZ DA ROCHA NETO,168,23 º 06 ' 36 '' S,50 º 22 ' 03 '' W
25,Santa Mariana,4123907,514,BENTO MUNHOZ DA ROCHA NETO,119,23 º 09 ' 03 '' S,50 º 31 ' 07 '' W
26,Cornelio Procopio,4106407,1880,BENTO MUNHOZ DA ROCHA NETO,776,23 º 10 ' 52 '' S,50 º 38 ' 48 '' W
27,Londrina,4113700,4316,BENTO MUNHOZ DA ROCHA NETO,1350,23 º 18 ' 37 '' S,51 º 09 ' 46 '' W
28,Apucarana,4101408,2142,BENTO MUNHOZ DA ROCHA NETO,402,23 º 33 ' 03 '' S,51 º 27 ' 39 '' W
28,Caviuna,4122404,1885,BENTO MUNHOZ DA ROCHA NETO,232,23 º 18 ' 35 '' S,51 º 22 ' 09 '' W
28,Mandaguari,4114203,197,BENTO MUNHOZ DA ROCHA NETO,27,23 º 32 ' 51 '' S,51 º 40 ' 15 '' W
29,Imbituva,4110102,1863,BENTO MUNHOZ DA ROCHA NETO,834,25 º 13 ' 48 '' S,50 º 36 ' 16 '' W
30,Prudentopolis,4120606,1662,BENTO MUNHOZ DA ROCHA NETO,111,25 º 12 ' 47 '' S,50 º 58 ' 40 '' W
31,Guarapuava,4109401,3624,BENTO MUNHOZ DA ROCHA NETO,750,25 º 23 ' 43 '' S,51 º 27 ' 29 '' W
32,Palmas,4117602,1553,BENTO MUNHOZ DA ROCHA NETO,289,26 º 29 ' 03 '' S,51 º 59 ' 26 '' W
33,Uniao Da Vitoria,4128203,3000,BENTO MUNHOZ DA ROCHA NETO,1263,26 º 13 ' 48 '' S,51 º 05 ' 11 '' W
34,Irati,4110706,2754,BENTO MUNHOZ DA ROCHA NETO,956,25 º 28 ' 02 '' S,50 º 39 ' 04 '' W
34,Reboucas,4121505,1116,BENTO MUNHOZ DA ROCHA NETO,379,25 º 37 ' 14 '' S,50 º 41 ' 34 '' W
34,Rio Azul,4122008,1168,BENTO MUNHOZ DA ROCHA NETO,294,25 º 43 ' 58 '' S,50 º 47 ' 47 '' W
35,Assai,4101903,1300,BENTO MUNHOZ DA ROCHA NETO,487,23 º 22 ' 24 '' S,50 º 50 ' 29 '' W
35,Congonhinhas,4106001,699,BENTO MUNHOZ DA ROCHA NETO,99,23 º 33 ' 04 '' S,50 º 33 ' 13 '' W
35,Sao Jeronimo Da Serra,4124707,280,BENTO MUNHOZ DA ROCHA NETO,17,23 º 43 ' 39 '' S,50 º 44 ' 28 '' W
36,Ipiranga,4110508,1649,BENTO MUNHOZ DA ROCHA NETO,356,25 º 01 ' 26 '' S,50 º 35 ' 03 '' W
37,Malle,4113908,1944,BENTO MUNHOZ DA ROCHA NETO,612,25 º 52 ' 40 '' S,50 º 49 ' 16 '' W
38,Pitanga,4119608,1313,BENTO MUNHOZ DA ROCHA NETO,596,24 º 45 ' 26 '' S,51 º 45 ' 41 '' W
39,Reserva,4121703,1445,BENTO MUNHOZ DA ROCHA NETO,120,24 º 39 ' 01 '' S,50 º 51 ' 02 '' W
40,Sertanopolis,4126504,1390,BENTO MUNHOZ DA ROCHA NETO,324,23 º 03 ' 31 '' S,51 º 02 ' 11 '' W
40,Ibipora,4109807,558,BENTO MUNHOZ DA ROCHA NETO,174,23 º 16 ' 09 '' S,51 º 02 ' 53 '' W
40,Porecatu,4120002,321,BENTO MUNHOZ DA ROCHA NETO,59,22 º 45 ' 21 '' S,51 º 22 ' 45 '' W
40,Bela Vista Do Paraiso,4102802,267,BENTO MUNHOZ DA ROCHA NETO,71,22 º 59 ' 48 '' S,51 º 11 ' 26 '' W
40,Jaguapita,4111902,342,BENTO MUNHOZ DA ROCHA NETO,107,23 º 06 ' 46 '' S,51 º 31 ' 55 '' W
41,Laranjeiras Do Sul,4113304,1245,BENTO MUNHOZ DA ROCHA NETO,4,25 º 24 ' 28 '' S,52 º 24 ' 58 '' W
42,Foz Do Iguacu,4108304,556,BENTO MUNHOZ DA ROCHA NETO,36,25 º 32 ' 52 '' S,54 º 35 ' 17 '' W
43,Clevelandia,4105706,1469,BENTO MUNHOZ DA ROCHA NETO,230,26 º 23 ' 45 '' S,52 º 28 ' 15 '' W